provider,suite,item_id,pass_type,pass_index,ok,http_status,error,prompt_chars,output_chars,extracted_answer,input_tokens,output_tokens,reasoning_tokens,total_tokens,ttft_ms,inter_token_latency_ms,e2e_ms,stop_reason,n_attempts,n_throttled,total_backoff_ms,had_backoff,raw_output_preview
zai,arc,arc-0000,parity,0,True,200,,396,1,C,97,95,91,192,3020.7571797072887,,3020.787475630641,stop,1,0,0.0,False,C
zai,arc,arc-0000,latency,0,True,200,,396,1,C,97,174,171,271,4933.7959894910455,,4933.834904804826,stop,1,0,0.0,False,C
zai,arc,arc-0001,parity,0,True,200,,519,1,B,112,81,78,193,3768.5300204902887,,3768.5514790937304,stop,1,0,0.0,False,B
zai,arc,arc-0001,latency,0,True,200,,519,1,B,112,77,74,189,3471.5768778696656,,3471.5968538075686,stop,1,0,0.0,False,B
zai,arc,arc-0002,parity,0,True,200,,430,1,C,104,128,125,232,5296.193482354283,,5296.218341216445,stop,1,0,0.0,False,C
zai,arc,arc-0002,latency,0,True,200,,430,1,C,104,121,116,225,2484.2630829662085,,2484.285674057901,stop,1,0,0.0,False,C
zai,arc,arc-0003,parity,0,True,200,,483,1,D,121,78,75,199,2876.239813864231,,2876.3252096250653,stop,1,0,0.0,False,D
zai,arc,arc-0003,latency,0,True,200,,483,1,D,121,95,92,216,2544.04026735574,,2544.0788501873612,stop,1,0,0.0,False,D
zai,arc,arc-0004,parity,0,True,200,,545,0,,141,300,299,441,,,6744.320995174348,length,1,0,0.0,False,
zai,arc,arc-0004,latency,0,True,200,,545,0,,141,300,299,441,,,6338.69038708508,length,1,0,0.0,False,
zai,arc,arc-0005,parity,0,True,200,,574,0,,145,300,300,445,,,6311.525236815214,length,1,0,0.0,False,
zai,arc,arc-0005,latency,0,True,200,,574,1,B,145,243,240,388,4739.79954328388,,4739.919508807361,stop,1,0,0.0,False,B
zai,arc,arc-0006,parity,0,True,200,,591,1,C,141,165,162,306,5347.197958268225,,5347.22879063338,stop,1,0,0.0,False,C
zai,arc,arc-0006,latency,0,True,200,,591,1,C,141,197,193,338,4381.582139991224,,4381.600803695619,stop,1,0,0.0,False,C
zai,arc,arc-0007,parity,0,True,200,,417,1,C,107,189,186,296,4875.110396184027,,4875.149326398969,stop,1,0,0.0,False,C
zai,arc,arc-0007,latency,0,True,200,,417,1,C,107,163,160,270,6880.712615326047,,6880.764374509454,stop,1,0,0.0,False,C
zai,arc,arc-0008,parity,0,True,200,,555,1,B,131,139,135,270,4686.373107135296,,4686.397219076753,stop,1,0,0.0,False,B
zai,arc,arc-0008,latency,0,True,200,,555,1,B,131,189,186,320,7895.3191842883825,,7895.354261621833,stop,1,0,0.0,False,B
zai,arc,arc-0009,parity,0,True,200,,299,1,A,82,75,72,157,3650.3774262964725,,3650.4091760143638,stop,1,0,0.0,False,A
zai,arc,arc-0009,latency,0,True,200,,299,1,A,82,60,57,142,2161.2777514383197,,2161.299390718341,stop,1,0,0.0,False,A
zai,arc,arc-0010,parity,0,True,200,,350,1,B,93,246,242,339,5002.45051458478,,5002.490179613233,stop,1,0,0.0,False,B
zai,arc,arc-0010,latency,0,True,200,,350,1,B,93,281,278,374,7030.08842933923,,7030.11426795274,stop,1,0,0.0,False,B
zai,arc,arc-0011,parity,0,True,200,,337,1,A,87,269,266,356,7420.77751737088,,7420.8126133307815,stop,1,0,0.0,False,A
zai,arc,arc-0011,latency,0,True,200,,337,0,,87,300,296,387,,,7232.286049053073,length,1,0,0.0,False,
zai,arc,arc-0012,parity,0,True,200,,260,1,C,97,129,126,226,3209.0778490528464,,3209.116229787469,stop,1,0,0.0,False,C
zai,arc,arc-0012,latency,0,True,200,,260,1,C,97,125,121,222,3138.650558888912,,3138.6743830516934,stop,1,0,0.0,False,C
zai,arc,arc-0013,parity,0,True,200,,368,1,C,93,255,251,348,8570.427399128675,,8570.453787222505,stop,1,0,0.0,False,C
zai,arc,arc-0013,latency,0,True,200,,368,1,C,93,147,144,240,5804.432747885585,,5804.455680772662,stop,1,0,0.0,False,C
zai,arc,arc-0014,parity,0,True,200,,243,1,C,70,78,75,148,5790.430828928947,,5790.465768426657,stop,1,0,0.0,False,C
zai,arc,arc-0014,latency,0,True,200,,243,1,C,70,88,85,158,5013.151203282177,,5013.185511343181,stop,1,0,0.0,False,C
zai,arc,arc-0015,parity,0,True,200,,228,1,A,70,99,96,169,3821.6472920030355,,3821.6827362775803,stop,1,0,0.0,False,A
zai,arc,arc-0015,latency,0,True,200,,228,1,A,70,64,61,134,2331.049676053226,,2331.070234067738,stop,1,0,0.0,False,A
zai,arc,arc-0016,parity,0,True,200,,543,1,C,124,126,123,250,2924.7465040534735,,2924.7698644176126,stop,1,0,0.0,False,C
zai,arc,arc-0016,latency,0,True,200,,543,1,C,124,118,115,242,2997.6285425946116,,2997.6527858525515,stop,1,0,0.0,False,C
zai,arc,arc-0017,parity,0,True,200,,413,1,B,115,73,70,188,2090.745567344129,,2090.768071822822,stop,1,0,0.0,False,B
zai,arc,arc-0017,latency,0,True,200,,413,1,B,115,61,58,176,2952.062452211976,,2952.099695801735,stop,1,0,0.0,False,B
zai,arc,arc-0018,parity,0,True,200,,560,1,A,130,134,131,264,4236.4292507991195,,4236.470675095916,stop,1,0,0.0,False,A
zai,arc,arc-0018,latency,0,True,200,,560,1,A,130,174,171,304,4783.372280187905,,4783.408869989216,stop,1,0,0.0,False,A
zai,arc,arc-0019,parity,0,True,200,,427,1,C,101,158,155,259,6093.571230769157,,6093.611361458898,stop,1,0,0.0,False,C
zai,arc,arc-0019,latency,0,True,200,,427,1,C,101,188,185,289,6363.439543172717,,6363.471952266991,stop,1,0,0.0,False,C
zai,arc,arc-0020,parity,0,True,200,,407,1,B,104,126,123,230,8083.42516887933,,8083.460790105164,stop,1,0,0.0,False,B
zai,arc,arc-0020,latency,0,True,200,,407,1,B,104,213,210,317,6109.683432616293,,6109.7081284970045,stop,1,0,0.0,False,B
zai,arc,arc-0021,parity,0,True,200,,397,1,B,155,150,145,305,3838.0625816062093,,3838.0888272076845,stop,1,0,0.0,False,B
zai,arc,arc-0021,latency,0,True,200,,397,1,B,155,165,162,320,3644.489124417305,,3644.547676667571,stop,1,0,0.0,False,B
zai,arc,arc-0022,parity,0,True,200,,307,1,A,79,95,91,174,2950.926501303911,,2950.951755978167,stop,1,0,0.0,False,A
zai,arc,arc-0022,latency,0,True,200,,307,1,A,79,185,181,264,3249.929515644908,,3249.954213388264,stop,1,0,0.0,False,A
zai,arc,arc-0023,parity,0,True,200,,400,1,C,122,89,84,211,2436.8648575618863,,2436.8916554376483,stop,1,0,0.0,False,C
zai,arc,arc-0023,latency,0,True,200,,400,1,C,122,107,104,229,8254.694917239249,,8254.720022901893,stop,1,0,0.0,False,C
zai,arc,arc-0024,parity,0,True,200,,180,1,B,64,94,91,158,3913.038220256567,,3913.073199801147,stop,1,0,0.0,False,B
zai,arc,arc-0024,latency,0,True,200,,180,1,B,64,161,156,225,7738.872235640883,,7738.89740370214,stop,1,0,0.0,False,B
zai,arc,arc-0025,parity,0,True,200,,310,1,D,90,82,79,172,4388.462702743709,,4388.485074043274,stop,1,0,0.0,False,D
zai,arc,arc-0025,latency,0,True,200,,310,1,D,90,85,82,175,4844.820582307875,,4844.846330583096,stop,1,0,0.0,False,D
zai,arc,arc-0026,parity,0,True,200,,511,1,B,119,227,224,346,10991.409385576844,,10991.445186547935,stop,1,0,0.0,False,B
zai,arc,arc-0026,latency,0,True,200,,511,1,B,119,247,244,366,7333.0100532621145,,7333.047376945615,stop,1,0,0.0,False,B
