canonical_agree,canonical_unknown,item_id,suite,umans_answer,zai_answer
True,False,arc-0000,arc,C,C
True,False,arc-0001,arc,B,B
True,False,arc-0002,arc,C,C
True,False,arc-0003,arc,D,D
True,False,arc-0004,arc,D,D
True,False,arc-0005,arc,B,B
True,False,arc-0006,arc,C,C
True,False,arc-0007,arc,C,C
True,False,arc-0008,arc,B,B
True,False,arc-0009,arc,A,A
True,False,arc-0010,arc,B,B
True,False,arc-0011,arc,A,A
True,False,arc-0012,arc,C,C
True,False,arc-0013,arc,C,C
True,False,arc-0014,arc,C,C
True,False,arc-0015,arc,A,A
True,False,arc-0016,arc,C,C
True,False,arc-0017,arc,B,B
True,False,arc-0018,arc,A,A
True,False,arc-0019,arc,C,C
True,False,arc-0020,arc,B,B
True,False,arc-0021,arc,B,B
True,False,arc-0022,arc,A,A
True,False,arc-0023,arc,C,C
True,False,arc-0024,arc,B,B
True,False,arc-0025,arc,D,D
True,False,arc-0026,arc,B,B
True,False,arc-0027,arc,B,B
True,False,arc-0028,arc,C,C
True,False,arc-0029,arc,B,B
True,False,arc-0030,arc,D,D
True,False,arc-0031,arc,C,C
True,False,arc-0032,arc,A,A
True,False,arc-0033,arc,C,C
True,False,arc-0034,arc,A,A
False,True,arc-0035,arc,,A
True,False,arc-0036,arc,B,B
True,False,arc-0037,arc,B,B
True,False,arc-0038,arc,C,C
True,False,arc-0039,arc,B,B
True,False,arc-0040,arc,C,C
True,False,arc-0041,arc,A,A
True,False,arc-0042,arc,C,C
True,False,arc-0043,arc,D,D
False,True,arc-0044,arc,,
True,False,arc-0045,arc,B,B
True,False,arc-0046,arc,C,C
True,False,arc-0047,arc,C,C
True,False,arc-0048,arc,C,C
True,False,arc-0049,arc,A,A
True,False,arc-0050,arc,D,D
True,False,arc-0051,arc,C,C
True,False,arc-0052,arc,A,A
True,False,arc-0053,arc,C,C
True,False,arc-0054,arc,B,B
True,False,arc-0055,arc,B,B
True,False,arc-0056,arc,C,C
True,False,arc-0057,arc,A,A
True,False,arc-0058,arc,A,A
True,False,arc-0059,arc,C,C
True,False,arc-0060,arc,D,D
True,False,arc-0061,arc,B,B
True,False,arc-0062,arc,D,D
True,False,arc-0063,arc,C,C
True,False,arc-0064,arc,D,D
True,False,arc-0065,arc,A,A
True,False,arc-0066,arc,A,A
True,False,arc-0067,arc,D,D
True,False,arc-0068,arc,B,B
True,False,arc-0069,arc,A,A
False,True,arc-0070,arc,,D
True,False,arc-0071,arc,C,C
False,True,arc-0072,arc,,
True,False,arc-0073,arc,D,D
True,False,arc-0074,arc,D,D
True,False,arc-0075,arc,A,A
True,False,arc-0076,arc,B,B
True,False,arc-0077,arc,B,B
True,False,arc-0078,arc,B,B
True,False,arc-0079,arc,A,A
True,False,arc-0080,arc,D,D
True,False,arc-0081,arc,C,C
True,False,arc-0082,arc,C,C
True,False,arc-0083,arc,D,D
True,False,arc-0084,arc,D,D
True,False,arc-0085,arc,A,A
True,False,arc-0086,arc,A,A
True,False,arc-0087,arc,D,D
True,False,arc-0088,arc,C,C
True,False,arc-0089,arc,C,C
True,False,arc-0090,arc,A,A
True,False,arc-0091,arc,D,D
True,False,arc-0092,arc,D,D
True,False,arc-0093,arc,A,A
True,False,arc-0094,arc,B,B
True,False,arc-0095,arc,C,C
True,False,arc-0096,arc,C,C
True,False,arc-0097,arc,B,B
True,False,arc-0098,arc,B,B
True,False,arc-0099,arc,B,B
