provider,suite,item_id,pass_type,pass_index,ok,http_status,error,prompt_chars,output_chars,extracted_answer,input_tokens,output_tokens,reasoning_tokens,total_tokens,ttft_ms,inter_token_latency_ms,e2e_ms,stop_reason,n_attempts,n_throttled,total_backoff_ms,had_backoff,raw_output_preview
umans,arc,arc-0000,parity,0,True,200,,396,1,C,97,165,163,262,2879.978238604963,,2879.9930224195123,stop,1,0,0.0,False,C
umans,arc,arc-0000,latency,0,True,200,,396,1,C,97,134,132,231,2862.9569625481963,,2862.997586838901,stop,1,0,0.0,False,C
umans,arc,arc-0001,parity,0,True,200,,519,1,B,112,117,115,229,2967.361225746572,,2967.41961594671,stop,1,0,0.0,False,B
umans,arc,arc-0001,latency,0,True,200,,519,1,B,112,114,112,226,2966.6924038901925,,2966.7055094614625,stop,1,0,0.0,False,B
umans,arc,arc-0002,parity,0,True,200,,430,1,C,104,185,183,289,4299.190203659236,,4299.217352643609,stop,1,0,0.0,False,C
umans,arc,arc-0002,latency,0,True,200,,430,1,C,104,195,193,299,4379.952785558999,,4379.98163048178,stop,1,0,0.0,False,C
umans,arc,arc-0003,parity,0,True,200,,483,1,D,121,232,230,353,21315.38617890328,,21360.484926961362,stop,1,0,0.0,False,D
umans,arc,arc-0003,latency,0,True,200,,483,1,D,121,154,152,275,19955.616232939065,,20004.36182320118,stop,1,0,0.0,False,D
umans,arc,arc-0004,parity,0,True,200,,545,0,,141,300,300,441,,,27609.64541323483,length,1,0,0.0,False,
umans,arc,arc-0004,latency,0,True,200,,545,0,,141,300,304,441,,,26368.917691521347,length,1,0,0.0,False,
umans,arc,arc-0005,parity,0,True,200,,574,0,,145,300,302,445,,,79629.32918220758,length,1,0,0.0,False,
umans,arc,arc-0005,latency,0,True,200,,574,0,,145,300,300,445,,,83804.26018405706,length,1,0,0.0,False,
umans,arc,arc-0006,parity,0,True,200,,591,1,C,141,209,207,350,14821.26680854708,,14821.294353343546,stop,1,0,0.0,False,C
umans,arc,arc-0006,latency,0,True,200,,591,1,C,141,205,203,346,11206.864046864212,,11232.888774946332,stop,1,0,0.0,False,C
umans,arc,arc-0007,parity,0,True,200,,417,1,C,107,171,169,278,4171.364237554371,,4171.402430161834,stop,1,0,0.0,False,C
umans,arc,arc-0007,latency,0,True,200,,417,1,C,107,196,194,303,5843.877946957946,,5843.907649628818,stop,1,0,0.0,False,C
umans,arc,arc-0008,parity,0,True,200,,555,1,B,131,210,208,341,10619.37627196312,,10619.41290460527,stop,1,0,0.0,False,B
umans,arc,arc-0008,latency,0,True,200,,555,1,B,131,225,223,356,8324.163467623293,,8343.831295147538,stop,1,0,0.0,False,B
umans,arc,arc-0009,parity,0,True,200,,299,1,A,82,146,144,228,28248.017493635416,,28248.046170920134,stop,1,0,0.0,False,A
umans,arc,arc-0009,latency,0,True,200,,299,1,A,82,96,94,178,27845.68028897047,,27845.708461478353,stop,1,0,0.0,False,A
umans,arc,arc-0010,parity,0,True,200,,350,0,,93,300,302,393,,,5945.7510486245155,length,1,0,0.0,False,
umans,arc,arc-0010,latency,0,True,200,,350,1,B,93,297,295,390,5646.140355616808,,5646.176389418542,stop,1,0,0.0,False,B
umans,arc,arc-0011,parity,0,True,200,,337,0,,87,300,302,387,,,52375.06471108645,length,5,0,5786.9290613087505,True,
