canonical_agree,canonical_unknown,item_id,suite,umans_answer,zai_answer
True,False,arc-0000,arc,C,C
True,False,arc-0001,arc,B,B
True,False,arc-0002,arc,C,C
True,False,arc-0003,arc,D,D
False,True,arc-0004,arc,,
False,True,arc-0005,arc,,
True,False,arc-0006,arc,C,C
True,False,arc-0007,arc,C,C
True,False,arc-0008,arc,B,B
True,False,arc-0009,arc,A,A
False,True,arc-0010,arc,,B
False,True,arc-0011,arc,,A
True,False,arc-0012,arc,C,C
True,False,arc-0013,arc,C,C
True,False,arc-0014,arc,C,C
True,False,arc-0015,arc,A,A
True,False,arc-0016,arc,C,C
True,False,arc-0017,arc,B,B
True,False,arc-0018,arc,A,A
False,True,arc-0019,arc,,C
False,True,arc-0020,arc,,B
True,False,arc-0021,arc,B,B
True,False,arc-0022,arc,A,A
True,False,arc-0023,arc,C,C
True,False,arc-0024,arc,B,B
True,False,arc-0025,arc,D,D
True,False,arc-0026,arc,B,B
True,False,arc-0027,arc,B,B
False,True,arc-0028,arc,,
False,True,arc-0029,arc,B,
