provider,suite,item_id,pass_type,pass_index,ok,http_status,error,prompt_chars,output_chars,extracted_answer,input_tokens,output_tokens,reasoning_tokens,total_tokens,ttft_ms,inter_token_latency_ms,e2e_ms,stop_reason,n_attempts,n_throttled,total_backoff_ms,had_backoff,raw_output_preview
zai,arc,arc-0001,latency,0,True,200,,519,1,B,112,74,71,186,2954.9304228276014,,2954.9548598006368,stop,1,0,0.0,False,B
zai,arc,arc-0047,latency,0,True,200,,238,1,C,72,80,77,152,2510.239618830383,,2510.31890604645,stop,1,0,0.0,False,C
umans,arc,arc-0085,latency,0,True,200,,253,1,A,81,82,80,163,3567.968750372529,,3567.997599951923,stop,1,0,0.0,False,A
zai,arc,arc-0002,parity,0,True,200,,430,1,C,104,138,133,242,3814.6341303363442,,3814.660673029721,stop,1,0,0.0,False,C
umans,arc,arc-0016,latency,0,True,200,,543,1,C,124,152,150,276,10319.162185303867,,10364.824678748846,stop,1,0,0.0,False,C
zai,arc,arc-0048,parity,0,True,200,,296,1,C,76,94,91,170,3438.948795199394,,3439.0544425696135,stop,1,0,0.0,False,C
umans,arc,arc-0017,parity,0,True,200,,413,1,B,115,66,64,181,7828.276415355504,,7869.655376300216,stop,1,0,0.0,False,B
umans,arc,arc-0017,latency,0,True,200,,413,1,B,115,65,63,180,2789.076352491975,,2789.1042539849877,stop,1,0,0.0,False,B
umans,arc,arc-0086,parity,0,True,200,,675,1,A,153,226,224,379,3856.0542054474354,,3889.0209160745144,stop,1,0,0.0,False,A
zai,arc,arc-0071,parity,0,True,200,,267,1,C,78,139,136,217,6344.371885992587,,6344.397332519293,stop,1,0,0.0,False,C
umans,arc,arc-0086,latency,0,True,200,,675,1,A,153,214,212,367,3519.579917192459,,3560.985148884356,stop,1,0,0.0,False,A
zai,arc,arc-0002,latency,0,True,200,,430,1,C,104,104,101,208,3297.1914475783706,,3297.2279489040375,stop,1,0,0.0,False,C
umans,arc,arc-0087,parity,0,True,200,,506,1,D,122,273,271,395,4359.238278120756,,4359.271426685154,stop,1,0,0.0,False,D
zai,arc,arc-0048,latency,0,True,200,,296,1,C,76,153,150,229,6717.129709199071,,6717.155577614903,stop,1,0,0.0,False,C
zai,arc,arc-0070,latency,0,True,200,,303,0,,94,1200,1197,1294,,,26509.369730949402,length,1,0,0.0,False,
zai,arc,arc-0071,latency,0,True,200,,267,1,C,78,68,65,146,4274.125530384481,,4274.155844002962,stop,1,0,0.0,False,C
zai,arc,arc-0003,parity,0,True,200,,483,1,D,121,113,110,234,3107.246110215783,,3107.2820872068405,stop,1,0,0.0,False,D
zai,arc,arc-0049,parity,0,True,200,,272,1,A,84,305,302,389,11322.211906313896,,11322.237486951053,stop,1,0,0.0,False,A
zai,arc,arc-0003,latency,0,True,200,,483,1,D,121,120,117,241,2654.4930897653103,,2654.5188426971436,stop,1,0,0.0,False,D
zai,arc,arc-0049,latency,0,True,200,,272,1,A,84,210,207,294,7002.742677927017,,7002.772504463792,stop,1,0,0.0,False,A
zai,arc,arc-0072,parity,0,True,200,,466,0,,110,1200,1199,1310,,,28970.889090560377,length,1,0,0.0,False,
zai,arc,arc-0004,parity,0,True,200,,545,1,D,141,522,519,663,12057.09037091583,,12057.115723378956,stop,1,0,0.0,False,D
zai,arc,arc-0072,latency,0,True,200,,466,0,,110,1200,1200,1310,,,25267.837583087385,length,1,0,0.0,False,
zai,arc,arc-0050,parity,0,True,200,,494,1,D,129,113,110,242,5767.805982381105,,5767.832524143159,stop,1,0,0.0,False,D
zai,arc,arc-0073,parity,0,True,200,,296,1,D,84,98,95,182,5776.730441488326,,5776.75770316273,stop,1,0,0.0,False,D
zai,arc,arc-0050,latency,0,True,200,,494,1,D,129,159,156,288,7047.009587287903,,7047.054347582161,stop,1,0,0.0,False,D
zai,arc,arc-0004,latency,0,True,200,,545,1,D,141,701,698,842,14046.25700134784,,14046.29444424063,stop,1,0,0.0,False,D
zai,arc,arc-0073,latency,0,True,200,,296,1,D,84,102,99,186,2775.620711967349,,2775.6395377218723,stop,1,0,0.0,False,D
zai,arc,arc-0005,parity,0,True,200,,574,1,B,145,188,184,333,4338.813535869122,,4338.8386042788625,stop,1,0,0.0,False,B
zai,arc,arc-0051,parity,0,True,200,,361,1,C,99,105,102,204,3536.0422879457474,,3536.0758639872074,stop,1,0,0.0,False,C
zai,arc,arc-0074,parity,0,True,200,,371,1,D,89,147,143,236,3329.2673341929913,,3329.2921725660563,stop,1,0,0.0,False,D
zai,arc,arc-0051,latency,0,True,200,,361,1,C,99,134,131,233,3694.202828221023,,3694.227567873895,stop,1,0,0.0,False,C
zai,arc,arc-0005,latency,0,True,200,,574,1,B,145,263,260,408,6374.139988794923,,6374.17199742049,stop,1,0,0.0,False,B
zai,arc,arc-0074,latency,0,True,200,,371,1,D,89,106,103,195,2812.8385208547115,,2812.8636395558715,stop,1,0,0.0,False,D
zai,arc,arc-0052,parity,0,True,200,,271,1,A,76,91,88,167,2843.0043989792466,,2843.0303698405623,stop,1,0,0.0,False,A
zai,arc,arc-0006,parity,0,True,200,,591,1,C,141,169,165,310,4957.423500716686,,4957.450844347477,stop,1,0,0.0,False,C
zai,arc,arc-0075,parity,0,True,200,,285,1,A,88,151,148,239,3709.9752444773912,,3710.0016148760915,stop,1,0,0.0,False,A
zai,arc,arc-0006,latency,0,True,200,,591,1,C,141,153,149,294,3880.416630767286,,3880.4433438926935,stop,1,0,0.0,False,C
zai,arc,arc-0052,latency,0,True,200,,271,1,A,76,88,85,164,3915.3258483856916,,3915.384395979345,stop,1,0,0.0,False,A
zai,arc,arc-0075,latency,0,True,200,,285,1,A,88,97,94,185,2917.7492121234536,,2917.7767457440495,stop,1,0,0.0,False,A
zai,arc,arc-0053,parity,0,True,200,,329,1,C,89,128,125,217,3287.0812360197306,,3287.106898613274,stop,1,0,0.0,False,C
zai,arc,arc-0007,parity,0,True,200,,417,1,C,107,176,173,283,4858.282535336912,,4858.319947496057,stop,1,0,0.0,False,C
zai,arc,arc-0076,parity,0,True,200,,474,1,B,123,128,125,251,5007.620478980243,,5007.654319517314,stop,1,0,0.0,False,B
zai,arc,arc-0007,latency,0,True,200,,417,1,C,107,127,124,234,6169.583313167095,,6169.6179723367095,stop,1,0,0.0,False,C
zai,arc,arc-0053,latency,0,True,200,,329,1,C,89,113,110,202,3677.455449476838,,3677.4915643036366,stop,1,0,0.0,False,C
zai,arc,arc-0076,latency,0,True,200,,474,1,B,123,116,111,239,3922.5211357697845,,3922.5467201322317,stop,1,0,0.0,False,B
zai,arc,arc-0008,parity,0,True,200,,555,1,B,131,181,177,312,5571.817430667579,,5571.84477802366,stop,1,0,0.0,False,B
zai,arc,arc-0054,parity,0,True,200,,387,24,B,96,280,272,376,7045.721115544438,0.0034403055906295776,7045.755980536342,stop,1,0,0.0,False,The correct answer is B.
zai,arc,arc-0077,parity,0,True,200,,431,1,B,110,209,206,319,6557.178605347872,,6557.2033282369375,stop,1,0,0.0,False,B
zai,arc,arc-0008,latency,0,True,200,,555,1,B,131,194,191,325,6455.3871201351285,,6455.425169318914,stop,1,0,0.0,False,B
zai,arc,arc-0054,latency,0,True,200,,387,1,B,96,315,311,411,7403.296223841608,,7403.3214980736375,stop,1,0,0.0,False,B
zai,arc,arc-0077,latency,0,True,200,,431,1,B,110,188,185,298,6546.744630672038,,6546.771737746894,stop,1,0,0.0,False,B
zai,arc,arc-0009,parity,0,True,200,,299,1,A,82,143,140,225,3961.6059865802526,,3961.6391891613603,stop,1,0,0.0,False,A
zai,arc,arc-0055,parity,0,True,200,,655,1,B,157,218,215,375,5950.540669262409,,5950.564729049802,stop,1,0,0.0,False,B
zai,arc,arc-0078,parity,0,True,200,,402,1,B,105,176,173,281,5336.625488474965,,5336.652431637049,stop,1,0,0.0,False,B
zai,arc,arc-0009,latency,0,True,200,,299,1,A,82,91,88,173,3049.8542096465826,,3049.880567006767,stop,1,0,0.0,False,A
zai,arc,arc-0055,latency,0,True,200,,655,1,B,157,103,100,260,4307.232598774135,,4307.27481096983,stop,1,0,0.0,False,B
zai,arc,arc-0078,latency,0,True,200,,402,1,B,105,224,221,329,5099.33062735945,,5099.352981895208,stop,1,0,0.0,False,B
zai,arc,arc-0010,parity,0,True,200,,350,1,B,93,225,222,318,5231.975615955889,,5231.999907642603,stop,1,0,0.0,False,B
zai,arc,arc-0056,parity,0,True,200,,391,1,C,97,192,189,289,6816.793256439269,,6816.838801838458,stop,1,0,0.0,False,C
zai,arc,arc-0079,parity,0,True,200,,230,1,A,70,336,333,406,8771.618992090225,,8771.64551243186,stop,1,0,0.0,False,A
zai,arc,arc-0010,latency,0,True,200,,350,1,B,93,339,336,432,7994.51545253396,,7994.541447609663,stop,1,0,0.0,False,B
zai,arc,arc-0056,latency,0,True,200,,391,1,C,97,261,258,358,6272.864064201713,,6272.897279821336,stop,1,0,0.0,False,C
zai,arc,arc-0079,latency,0,True,200,,230,1,A,70,114,111,184,3562.3321877792478,,3562.3577795922756,stop,1,0,0.0,False,A
zai,arc,arc-0057,parity,0,True,200,,424,1,A,113,156,153,269,4945.566860958934,,4945.603839121759,stop,1,0,0.0,False,A
zai,arc,arc-0080,parity,0,True,200,,268,1,D,74,176,172,250,4186.925454996526,,4186.962127685547,stop,1,0,0.0,False,D
zai,arc,arc-0011,parity,0,True,200,,337,1,A,87,523,520,610,13479.803813621402,,13479.829131625593,stop,1,0,0.0,False,A
zai,arc,arc-0057,latency,0,True,200,,424,1,A,113,129,126,242,3319.4648697972298,,3319.491734728217,stop,1,0,0.0,False,A
zai,arc,arc-0080,latency,0,True,200,,268,1,D,74,85,82,159,2805.951806716621,,2806.0082690790296,stop,1,0,0.0,False,D
zai,arc,arc-0011,latency,0,True,200,,337,1,A,87,427,423,514,11073.886029422283,,11073.913430795074,stop,1,0,0.0,False,A
zai,arc,arc-0012,parity,0,True,200,,260,1,C,97,153,150,250,4310.815930366516,,4310.852942056954,stop,1,0,0.0,False,C
zai,arc,arc-0058,parity,0,True,200,,229,1,A,67,202,197,269,4415.487743914127,,4415.511848405004,stop,1,0,0.0,False,A
zai,arc,arc-0012,latency,0,True,200,,260,1,C,97,109,105,206,6484.59620308131,,6484.62098557502,stop,1,0,0.0,False,C
zai,arc,arc-0058,latency,0,True,200,,229,1,A,67,78,75,145,4056.876798160374,,4056.899044662714,stop,1,0,0.0,False,A
zai,arc,arc-0081,parity,0,True,200,,338,1,C,85,987,984,1072,21596.022005192935,,21596.050797961652,stop,1,0,0.0,False,C
zai,arc,arc-0059,parity,0,True,200,,533,1,C,164,348,345,512,8945.335197262466,,8945.372009649873,stop,1,0,0.0,False,C
zai,arc,arc-0081,latency,0,True,200,,338,1,C,85,857,854,942,20239.665653556585,,20239.69425354153,stop,1,0,0.0,False,C
zai,arc,arc-0013,parity,0,True,200,,368,1,C,93,119,116,212,4174.0450682118535,,4174.074308946729,stop,1,0,0.0,False,C
zai,arc,arc-0082,parity,0,True,200,,213,1,C,74,80,77,154,3122.520538046956,,3122.6488277316093,stop,1,0,0.0,False,C
zai,arc,arc-0013,latency,0,True,200,,368,1,C,93,274,271,367,7025.789950042963,,7025.827435776591,stop,1,0,0.0,False,C
zai,arc,arc-0059,latency,0,True,200,,533,1,C,164,427,424,591,6726.757073774934,,6726.784077472985,stop,1,0,0.0,False,C
